                          cost  slots    profit
Valencia 8-3, 1F             4     13  3.250000
Valencia 11-3                4     13  3.250000
Valencia 6-1, 2F             4     13  3.250000
Valencia 2-4, 1F             7     23  3.285714
Valencia Plantation 1-3      7     23  3.285714
Valencia 4-2, 1F, Rm. 2      7     23  3.285714
Valencia 5-4, 2F            10     33  3.300000
Valencia 9-4, 2F            10     33  3.300000
Valencia 2-5, Rm. 2         13     43  3.307692
Valencia 5-2, 2F             6     20  3.333333
Valencia 14-2, 2F            6     20  3.333333
Valencia 6-2, 1F, Rm. 1      3     10  3.333333
Valencia 12-2, 2F            6     20  3.333333
Valencia 8-5, 1F             9     30  3.333333
Valencia 8-4, 2F             9     30  3.333333
Valencia 11-4, 2F            9     30  3.333333
Valencia 2-6                14     47  3.357143
Valencia 4-2, 2F             8     27  3.375000
Valencia 7-2, 2F             8     27  3.375000
Valencia 16-2, 2F            7     24  3.428571
Valencia 2-4, 2F             9     31  3.444444
Valencia 13-4, 2F           12     42  3.500000
Valencia 13-2, 2F            4     14  3.500000
Valencia 15-2, 2F            4     14  3.500000
Valencia 10-1, 2F            6     21  3.500000
Valencia 8-5, 2F            13     46  3.538462
Valencia 2-3                 5     18  3.600000
Valencia Plantation 1-2      3     11  3.666667
Valencia 4-2, 1F, Rm. 1      3     11  3.666667
Valencia 5-1, 2F             3     11  3.666667
Valencia 6-2, 1F, Rm. 2      6     22  3.666667
Valencia 7-1, 2F             3     11  3.666667
Valencia 3-6, 1F            11     41  3.727273
Valencia 18-1, 2F            4     15  3.750000
Valencia 3-6, 2F            14     53  3.785714
Valencia 7-1, 3F             6     23  3.833333
Valencia 3-2, 1F             2      8  4.000000
Valencia 8-2, 2F             4     16  4.000000
Valencia 8-2, 1F             2      8  4.000000
Valencia 11-2, 2F            4     16  4.000000
Valencia 19-2, 2F            4     16  4.000000
Valencia 19-2, 1F            2      8  4.000000
Valencia 11-2, 1F            2      8  4.000000
Valencia 6-1, 1F             1      5  5.000000
